id,key,value,type
4312193889,postcode,382421,addr
4312193889,postcode,382421,addr
4312193889,postcode,382421,addr
4312193889,postcode,382421,addr
4312193889,postcode,382421,addr
4312193889,postcode,382421,addr
4316661685,name,Memco Circle,regular
4319362053,amenity,cafe,regular
4319362053,amenity,cafe,regular
4319408589,place,locality,regular
4319408589,place,locality,regular
4325329000,tourism,hotel,regular
4325329000,tourism,hotel,regular
4326493899,street,Ashram Road,addr
4326493899,street,Ashram Road,addr
4326493899,street,Ashram Road,addr
4326493998,operator,Ranip bus station GSRTC,regular
4326493998,operator,Ranip bus station GSRTC,regular
4326497890,street,132 Feet Ring Road,addr
4326497890,street,132 Feet Ring Road,addr
4326497890,street,132 Feet Ring Road,addr
4326497891,street,Ashram Road,addr
4326497891,street,Ashram Road,addr
4326497891,street,Ashram Road,addr
4326498095,street,100 Feet Road,addr
4326498095,street,100 Feet Road,addr
4326498095,street,100 Feet Road,addr
4326498895,street,120 Feet Ring Road,addr
4326498895,street,120 Feet Ring Road,addr
4326498895,street,120 Feet Ring Road,addr
4326498995,street,Satellite Road,addr
4326498995,street,Satellite Road,addr
4326498995,street,Satellite Road,addr
4326500998,street,Ashram Road,addr
4326500998,street,Ashram Road,addr
4326500998,street,Ashram Road,addr
4326500999,street,120 Feet Ring Road,addr
4326500999,street,120 Feet Ring Road,addr
4326500999,street,120 Feet Ring Road,addr
4326501193,street,Ashram Road,addr
4326501193,street,Ashram Road,addr
4326501193,street,Ashram Road,addr
